datetime,kwh,temperatureF,temperatureC,humidity,dewpointC
2019-09-26 0:00:00,1.6247,75.89,24.38333333,0.78,4.539333333
2019-09-26 1:00:00,2.6749,75.08,23.93333333,0.81,4.095333333
2019-09-26 2:00:00,1.6013,74.43,23.57222222,0.83,3.738222222
2019-09-26 3:00:00,1.6093,73.84,23.24444444,0.84,3.412444444
2019-09-26 4:00:00,1.5653,73.35,22.97222222,0.85,3.142222222
2019-09-26 5:00:00,1.5941,72.32,22.4,0.87,2.574
2019-09-26 6:00:00,1.583,71.74,22.07777778,0.88,2.253777778
2019-09-26 7:00:00,1.559,71.02,21.67777778,0.89,1.855777778
2019-09-26 8:00:00,1.5776,73.52,23.06666667,0.88,3.242666667
2019-09-26 9:00:00,1.667,77.26,25.14444444,0.81,5.306444444
2019-09-26 10:00:00,2.4705,81.58,27.54444444,0.73,7.690444444
2019-09-26 11:00:00,5.0599,84.99,29.43888889,0.65,9.568888889
2019-09-26 12:00:00,5.3688,86.73,30.40555556,0.61,10.52755556
2019-09-26 13:00:00,5.1872,88.31,31.28333333,0.56,11.39533333
2019-09-26 14:00:00,5.1828,88.93,31.62777778,0.54,11.73577778
2019-09-26 15:00:00,5.2388,88.85,31.58333333,0.54,11.69133333
2019-09-26 16:00:00,5.0001,88.06,31.14444444,0.53,11.25044444
2019-09-26 17:00:00,4.8271,86.5,30.27777778,0.55,10.38777778
2019-09-26 18:00:00,4.4935,85.1,29.5,0.58,9.616
2019-09-26 19:00:00,3.7541,82.6,28.11111111,0.64,8.239111111
2019-09-26 20:00:00,4.7098,80.43,26.90555556,0.69,7.043555556
2019-09-26 21:00:00,4.7397,78.87,26.03888889,0.74,6.186888889
2019-09-26 22:00:00,3.5443,77.87,25.48333333,0.78,5.639333333
2019-09-26 23:00:00,1.5837,76.74,24.85555556,0.81,5.017555556
2019-09-27 0:00:00,1.8812,76.36,24.64444444,0.82,4.808444444
2019-09-27 1:00:00,3.998,76.5,24.72222222,0.84,4.890222222
2019-09-27 2:00:00,1.8874,76.22,24.56666667,0.84,4.734666667
2019-09-27 3:00:00,1.8987,75.51,24.17222222,0.85,4.342222222
